Index,Verifier Type,Criteria,Criterion Type,Numerical Weight,Gate Kind,Is Primary Objective,Check Kind,Criteria Explanation,Reference Artifacts
11,App DB Programatic,"States, on the staffed role page, the 52 current employees at 08/31/2026 as the only employee rows.",Expert Assessment,10,Critical value,Yes,idset,"Fifty-two employees sit on the master roster and the August org chart. BambooHR's 57 active records hold four contractors and three ended employees and lack two working hires, so the set of rows is the determination and not the count.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; bamboohr/Employee.csv; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx; /HR/Data/Migration/SplinterHR_Final_Archive_2026-07-28.xlsx
12,App DB Programatic,"States, on the staffed role page, Simone Okonkwo, TRT-0153, as a current employee in Customer Success.",Expert Assessment,5,-,Yes,cell,"Okonkwo started 07/22/2026 on the master roster and sits on the August org chart under Edith Bustamante. The crosswalk carries the number as Never Loaded, so BambooHR alone misses the person.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; /HR/People/Onboarding/2026-07-22_IT_Ticket_TRT-0153.pdf; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx
13,App DB Programatic,"States, on the staffed role page, Rafael Ibarra, TRT-0155, as a current employee in Sales.",Expert Assessment,5,-,Yes,cell,"Ibarra started 08/03/2026 on the master roster and sits on the August org chart under Marisela Thornbury. The crosswalk carries the number as Never Loaded, so BambooHR alone misses the person.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; greenhouse/applications.csv; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx
14,App DB Programatic,"States, on the staffed role page, that Marguerite Delacroix-Hahn, TRT-0064, is on neither staffed role table.",Expert Assessment,7,-,Yes,absent,"Delacroix-Hahn ended employment 06/15/2026 on the SplinterHR archive and the crosswalk, and is on neither the August org chart nor the master roster, while the BambooHR record still reads Active.",/HR/People/Separations/2026-05-29_Resignation_TRT-0064.eml; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; bamboohr/Employee.csv
15,App DB Programatic,"States, on the staffed role page, that Piper Athanasoulis, TRT-0037, is on neither staffed role table.",Expert Assessment,7,-,Yes,absent,"Athanasoulis ended employment 03/20/2026 on the SplinterHR archive and the crosswalk, and is on neither the August org chart nor the master roster, while the BambooHR record still reads Active.",/HR/Data/Migration/SplinterHR_Final_Archive_2026-07-28.xlsx; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; bamboohr/Employee.csv
16,App DB Programatic,"States, on the staffed role page, that Halston Perevalov, TRT-0049, is on neither staffed role table.",Expert Assessment,7,-,Yes,absent,"Perevalov ended employment 05/08/2026 on the SplinterHR archive and the crosswalk, and is on neither the August org chart nor the master roster, while the BambooHR record still reads Active.",/HR/Data/Migration/SplinterHR_Final_Archive_2026-07-28.xlsx; /HR/Data/2026-08-28_Employee_ID_Crosswalk.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; bamboohr/Employee.csv
17,App DB Programatic,"States, on the staffed role page, that no contractor record CTR-2001, CTR-2002, CTR-2003, CTR-2004 is on either staffed role table.",Objective Compliance,3,-,No,no_rows,"BambooHR carries the four contractors as active employee rows, and the People Metrics method and the Finance cost memo both leave contractors out of headcount.",bamboohr/Employee.csv; /HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /Wiki/People_Metrics.md; /Finance/2026-08-06_Fully_Loaded_Cost_Memo.docx
18,App DB Programatic,"States, on the staffed role page, 19 current employees in Engineering, 4 current employees in Product, 8 current employees in Sales, 5 current employees in Marketing, 11 current employees in Customer Success, 5 current employees in Finance and Corporate.",Expert Assessment,5,-,Yes,count_multi,"The master roster and the August org chart carry Engineering 19, Product 4, Sales 8, Marketing 5, Customer Success 11 and Finance and Corporate 5. BambooHR's active records carry 22, 5 and 9 in the first three.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /HR/Org/2026-08-24_Org_Chart.pdf; bamboohr/Employee.csv
19,App DB Programatic,"States, on the staffed role page, 21 current employees in a role that carries an open requisition.",Objective Compliance,2,-,No,count,"Five open titles on the ATS export match a roster title, Senior Software Engineer, Software Engineer II, Account Executive, Customer Success Manager and Product Designer. 21 of the 52 current employees hold one of them.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; greenhouse/jobs.csv
20,App DB Programatic,"States, on the staffed role page, 31 current employees in a role with no open requisition, in a table of their own.",Objective Compliance,1,-,No,count,"No open title on the ATS export matches the other 31 roster titles, and the request puts those employees in a second table of the same shape.",/HR/Data/2026-08-31_Master_Employee_Roster.xlsx; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx
21,App DB Programatic,"States, on the staffed role page, Edith Bustamante as Simone Okonkwo's manager.",Objective Compliance,2,-,No,cell,"The August org chart hangs Okonkwo under Edith Bustamante and the master roster carries TRT-0021 as the manager, and BambooHR has no row to say otherwise.",/HR/Org/2026-08-24_Org_Chart.pdf; /HR/Data/2026-08-31_Master_Employee_Roster.xlsx
22,App DB Programatic,"States, on the staffed role page, Marisela Thornbury as Rafael Ibarra's manager.",Objective Compliance,2,-,No,cell,"Ibarra sits under Marisela Thornbury on the August org chart and the master roster carries TRT-0018 as the manager, and BambooHR has no row to say otherwise.",/HR/Org/2026-08-24_Org_Chart.pdf; /HR/Data/2026-08-31_Master_Employee_Roster.xlsx
23,App DB Programatic,"States, on the approved hiring page, every Board approval cell as Approved or Not approved.",Objective Compliance,1,-,No,vocab,The request fixes the Board approval vocabulary to those two values so the operating review reads one word per requisition.,operating_review_request.pdf
24,App DB Programatic,"States, on both pages, every date in MM/DD/YYYY form.",Objective Compliance,1,-,No,dates,"MM/DD/YYYY is the form the request sets and the form every Troutly record in the packet already uses, from the ATS export to the master roster.",operating_review_request.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; /HR/Data/2026-08-31_Master_Employee_Roster.xlsx
